User ID,Age,Gender,Location
1,26,Male,"San Jose, CA"
2,33,Female,"Boston, MA"
3,62,Male,"Denver, CO"
4,39,Female,"Houston, TX"
5,31,Male,"Austin, TX"
6,43,Female,"Los Angeles, CA"
7,26,Female,"Denver, CO"
8,63,Male,"Houston, TX"
9,60,Female,"San Francisco, CA"
10,25,Female,"Boston, MA"
11,23,Male,"Dallas, TX"
12,58,Male,"New York, NY"
13,39,Male,"Seattle, WA"
14,58,Male,"Seattle, WA"
15,24,Female,"Los Angeles, CA"
16,33,Male,"Dallas, TX"
17,58,Male,"Boston, MA"
18,57,Male,"Seattle, WA"
19,49,Non-Binary,"Phoenix, AZ"
20,26,Female,"San Jose, CA"
21,20,Male,"Seattle, WA"
22,26,Female,"Denver, CO"
23,20,Female,"San Francisco, CA"
24,30,Female,"Houston, TX"
25,54,Male,"San Francisco, CA"
26,19,Male,"Dallas, TX"
27,36,Male,"Chicago, IL"
28,27,Male,"San Jose, CA"
29,32,Female,"San Diego, CA"
30,27,Male,"Seattle, WA"
31,31,Male,"Los Angeles, CA"
32,28,Male,"Philadelphia, PA"
33,30,Male,"Philadelphia, PA"
34,31,Female,"Chicago, IL"
35,46,Female,"Chicago, IL"
36,34,Female,"Los Angeles, CA"
37,49,Female,"Philadelphia, PA"
38,31,Female,"Philadelphia, PA"
39,47,Male,"San Jose, CA"
40,21,Male,"San Diego, CA"
41,62,Non-Binary,"Los Angeles, CA"
42,31,Female,"Los Angeles, CA"
43,54,Male,"Houston, TX"
44,29,Male,"Houston, TX"
45,39,Female,"Los Angeles, CA"
46,56,Male,"San Diego, CA"
47,55,Male,"New York, NY"
48,37,Male,"Houston, TX"
49,43,Male,"Chicago, IL"
50,18,Female,"Seattle, WA"
51,44,Female,"Los Angeles, CA"
52,50,Male,"Dallas, TX"
53,29,Female,"Seattle, WA"
54,46,Male,"San Francisco, CA"
55,59,Male,"Los Angeles, CA"
56,56,Female,"San Francisco, CA"
57,18,Female,"San Francisco, CA"
58,27,Female,"Houston, TX"
59,35,Male,"Houston, TX"
60,41,Male,"Seattle, WA"
61,61,Male,"San Jose, CA"
62,43,Male,"Houston, TX"
63,23,Male,"Denver, CO"
64,50,Female,"Seattle, WA"
65,40,Female,"Phoenix, AZ"
66,40,Male,"Phoenix, AZ"
67,57,Male,"Austin, TX"
68,18,Male,"Philadelphia, PA"
69,45,Male,"Philadelphia, PA"
70,18,Male,"Seattle, WA"
71,59,Male,"Denver, CO"
72,42,Male,"New York, NY"
73,58,Male,"Denver, CO"
74,55,Female,"Boston, MA"
75,20,Male,"Phoenix, AZ"
76,46,Female,"San Diego, CA"
77,58,Male,"Dallas, TX"
78,32,Male,"Houston, TX"
79,47,Female,"New York, NY"
80,28,Male,"Philadelphia, PA"
81,37,Male,"San Diego, CA"
82,21,Male,"San Diego, CA"
83,37,Non-Binary,"Chicago, IL"
84,20,Female,"San Jose, CA"
85,47,Male,"Austin, TX"
86,48,Male,"Chicago, IL"
87,45,Male,"Chicago, IL"
88,41,Male,"San Diego, CA"
89,47,Female,"Philadelphia, PA"
90,30,Male,"Houston, TX"
91,40,Male,"Dallas, TX"
92,52,Male,"Los Angeles, CA"
93,35,Non-Binary,"Seattle, WA"
94,24,Female,"San Antonio, TX"
95,36,Female,"Phoenix, AZ"
96,38,Female,"San Jose, CA"
97,32,Female,"Phoenix, AZ"
98,61,Female,"San Francisco, CA"
99,61,Male,"Los Angeles, CA"
100,54,Female,"Dallas, TX"
101,58,Female,"Seattle, WA"
102,38,Female,"San Jose, CA"
103,63,Female,"New York, NY"
104,40,Male,"Chicago, IL"
105,32,Non-Binary,"Chicago, IL"
106,50,Male,"Denver, CO"
107,30,Male,"Seattle, WA"
108,52,Female,"Boston, MA"
109,18,Female,"Boston, MA"
110,20,Non-Binary,"Dallas, TX"
111,29,Male,"New York, NY"
112,32,Male,"Chicago, IL"
113,54,Male,"Phoenix, AZ"
114,34,Female,"Dallas, TX"
115,48,Female,"Seattle, WA"
116,41,Male,"Philadelphia, PA"
117,63,Male,"Philadelphia, PA"
118,29,Female,"Houston, TX"
119,62,Female,"San Jose, CA"
120,50,Female,"Dallas, TX"
121,46,Female,"Boston, MA"
122,48,Male,"Seattle, WA"
123,37,Male,"San Francisco, CA"
124,27,Male,"Dallas, TX"
125,50,Male,"San Francisco, CA"
126,34,Male,"Philadelphia, PA"
127,33,Male,"Denver, CO"
128,23,Female,"New York, NY"
129,65,Female,"Houston, TX"
130,21,Non-Binary,"Houston, TX"
131,39,Female,"San Antonio, TX"
132,49,Non-Binary,"Boston, MA"
133,64,Male,"Austin, TX"
134,18,Female,"San Antonio, TX"
135,37,Male,"San Jose, CA"
136,38,Male,"San Diego, CA"
137,57,Female,"Boston, MA"
138,55,Female,"Philadelphia, PA"
139,18,Non-Binary,"Austin, TX"
140,62,Female,"Philadelphia, PA"
141,37,Female,"Chicago, IL"
142,40,Male,"Dallas, TX"
143,19,Male,"Chicago, IL"
144,39,Male,"Philadelphia, PA"
145,31,Male,"Austin, TX"
146,18,Male,"Phoenix, AZ"
147,20,Female,"New York, NY"
148,26,Female,"Houston, TX"
149,46,Male,"Austin, TX"
150,31,Female,"Boston, MA"
